num,combo,rep,seed,tag,tagseq,水果_mode,水果_cell,水果_cx,水果_cy,水果_ang,水果_z,水果_pitch,水果_roll,水果_color,水果_w,水果_h,盘子_mode,盘子_cell,盘子_cx,盘子_cy,盘子_ang,盘子_z,盘子_pitch,盘子_roll,盘子_color,盘子_w,盘子_h
30,231,2,42,,,sweep,M,78.73,32.65,131.42,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,87.64,13.09,-177.54,0.00,0.00,0.00,#3498DB,15.00,15.00
31,208,3,42,,,sweep,L,60.36,13.71,139.20,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,J,70.25,32.45,65.20,0.00,0.00,0.00,#3498DB,15.00,15.00
32,294,2,42,,,sweep,Q,103.11,16.43,-13.07,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,29.55,10.23,-165.63,0.00,0.00,0.00,#3498DB,15.00,15.00
33,3,1,42,,,sweep,A,14.40,31.53,97.65,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,14.56,10.68,-61.83,0.00,0.00,0.00,#3498DB,15.00,15.00
34,210,2,42,,,sweep,L,71.09,9.37,74.08,1.05,0.00,0.00,#F39C12,5.00,5.00,sweep,L,68.13,9.47,-3.23,0.00,0.00,0.00,#3498DB,15.00,15.00
35,290,1,42,,,sweep,Q,96.51,17.89,-103.03,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,B,10.96,26.70,-115.84,0.00,0.00,0.00,#3498DB,15.00,15.00
36,237,2,42,,,sweep,N,80.30,28.71,134.93,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,10.80,11.28,-40.44,0.00,0.00,0.00,#3498DB,15.00,15.00
37,149,2,42,,,sweep,I,48.44,8.20,109.81,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,E,25.16,28.40,-129.37,0.00,0.00,0.00,#3498DB,15.00,15.00
38,255,3,42,,,sweep,O,79.15,13.01,-162.42,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,15.63,12.64,149.83,0.00,0.00,0.00,#3498DB,15.00,15.00
39,317,3,42,,,sweep,R,107.07,13.99,178.86,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,63.81,16.73,-101.50,0.00,0.00,0.00,#3498DB,15.00,15.00
40,235,1,42,,,sweep,N,77.66,29.47,22.81,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,10.02,34.88,88.56,0.00,0.00,0.00,#3498DB,15.00,15.00
41,105,2,42,,,sweep,F,33.32,5.16,-178.91,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,88.42,14.43,1.66,0.00,0.00,0.00,#3498DB,15.00,15.00
42,127,1,42,,,sweep,H,37.57,29.53,-62.49,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,11.98,35.49,-98.13,0.00,0.00,0.00,#3498DB,15.00,15.00
43,315,2,42,,,sweep,R,98.94,11.50,24.77,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,38.93,8.08,85.72,0.00,0.00,0.00,#3498DB,15.00,15.00
44,32,1,42,,,sweep,B,7.01,17.19,-163.66,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,N,75.70,21.04,-102.87,0.00,0.00,0.00,#3498DB,15.00,15.00
45,203,3,42,,,sweep,L,72.91,12.34,62.60,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,E,32.50,21.25,156.22,0.00,0.00,0.00,#3498DB,15.00,15.00
46,272,1,42,,,sweep,P,104.70,34.43,33.57,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,B,13.81,15.53,35.97,0.00,0.00,0.00,#3498DB,15.00,15.00
47,89,2,42,,,sweep,E,23.52,22.21,96.81,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,92.39,25.08,144.01,0.00,0.00,0.00,#3498DB,15.00,15.00
48,223,2,42,,,sweep,M,75.81,38.93,9.50,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,G,45.88,30.07,-174.08,0.00,0.00,0.00,#3498DB,15.00,15.00
49,263,2,42,,,sweep,O,86.49,8.06,-166.54,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,64.60,15.78,-40.39,0.00,0.00,0.00,#3498DB,15.00,15.00
50,233,2,42,,,sweep,M,78.83,33.18,104.10,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,93.09,25.68,172.74,0.00,0.00,0.00,#3498DB,15.00,15.00
