num,combo,rep,seed,tag,tagseq,香蕉_mode,香蕉_cell,香蕉_cx,香蕉_cy,香蕉_ang,香蕉_z,香蕉_pitch,香蕉_roll,香蕉_color,香蕉_w,香蕉_h,盘子_mode,盘子_cell,盘子_cx,盘子_cy,盘子_ang,盘子_z,盘子_pitch,盘子_roll,盘子_color,盘子_w,盘子_h
34,210,2,42,,,sweep,L,66.72,4.63,-157.76,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,L,55.65,11.52,-24.85,0.00,0.00,0.00,#3498DB,15.00,15.00
35,290,1,42,,,sweep,Q,101.56,16.25,140.45,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,B,12.11,23.95,156.86,0.00,0.00,0.00,#3498DB,15.00,15.00
36,237,2,42,,,sweep,N,81.24,15.79,91.57,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,10.04,8.35,-1.07,0.00,0.00,0.00,#3498DB,15.00,15.00
37,149,2,42,,,sweep,I,51.64,12.12,-161.89,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,E,25.21,21.59,143.77,0.00,0.00,0.00,#3498DB,15.00,15.00
38,255,3,42,,,sweep,O,78.07,10.98,139.68,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,13.72,14.11,154.58,0.00,0.00,0.00,#3498DB,15.00,15.00
39,317,3,42,,,sweep,R,102.26,4.49,126.75,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,65.73,24.52,-139.93,0.00,0.00,0.00,#3498DB,15.00,15.00
40,235,1,42,,,sweep,N,89.22,29.68,31.02,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,17.08,34.21,-5.12,0.00,0.00,0.00,#3498DB,15.00,15.00
41,105,2,42,,,sweep,F,31.46,5.93,24.61,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,85.16,11.62,-128.25,0.00,0.00,0.00,#3498DB,15.00,15.00
42,127,1,42,,,sweep,H,39.75,24.82,50.20,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,12.90,34.35,-22.68,0.00,0.00,0.00,#3498DB,15.00,15.00
43,315,2,42,,,sweep,R,93.15,7.30,14.43,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,38.18,12.84,-42.71,0.00,0.00,0.00,#3498DB,15.00,15.00
44,32,1,42,,,sweep,B,5.58,25.81,-73.86,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,N,75.07,23.39,-77.43,0.00,0.00,0.00,#3498DB,15.00,15.00
45,203,3,42,,,sweep,L,63.20,4.10,165.64,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,E,34.83,15.30,17.39,0.00,0.00,0.00,#3498DB,15.00,15.00
46,272,1,42,,,sweep,P,96.21,34.74,47.90,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,B,8.44,27.50,-6.35,0.00,0.00,0.00,#3498DB,15.00,15.00
47,89,2,42,,,sweep,E,21.09,24.92,131.73,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,94.00,18.16,66.16,0.00,0.00,0.00,#3498DB,15.00,15.00
48,223,2,42,,,sweep,M,90.29,35.54,-47.73,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,G,50.90,30.78,48.69,0.00,0.00,0.00,#3498DB,15.00,15.00
49,263,2,42,,,sweep,O,78.52,13.20,-4.99,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,65.57,17.53,30.89,0.00,0.00,0.00,#3498DB,15.00,15.00
50,233,2,42,,,sweep,M,76.26,34.66,126.55,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,98.89,27.54,-91.23,0.00,0.00,0.00,#3498DB,15.00,15.00
